anio	departamento	letra_desc	caes_1	puestos
2014	Colón	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	196
2014	Colón	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	4897
2014	Colón	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	938
2014	Colón	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	1630
2014	Colón	CONSTRUCCIÓN	CONST	355
2014	Colón	ENSEÑANZA	ENSESALUD	439
2014	Colón	EXPLOTACION DE MINAS Y CANTERAS	PRIM	88
2014	Colón	INDUSTRIA MANUFACTURERA	MANUF	3157
2014	Colón	INFORMACIÓN Y COMUNICACIONES	SERVEMP	139
2014	Colón	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	179
2014	Colón	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	610
2014	Colón	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	89
2014	Colón	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	573
2014	Colón	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	318
2014	Colón	SERVICIOS INMOBILIARIOS	SERVEMP	55
2014	Colón	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	141
2014	Colón	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	13
2014	Colón	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	20
2014	Concordia	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	1355
2014	Concordia	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	14545
2014	Concordia	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	5920
2014	Concordia	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	4328
2014	Concordia	CONSTRUCCIÓN	CONST	1481
2014	Concordia	ENSEÑANZA	ENSESALUD	2152
2014	Concordia	EXPLOTACION DE MINAS Y CANTERAS	PRIM	117
2014	Concordia	INDUSTRIA MANUFACTURERA	MANUF	2710
2014	Concordia	INFORMACIÓN Y COMUNICACIONES	SERVEMP	261
2014	Concordia	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	714
2014	Concordia	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	876
2014	Concordia	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	111
2014	Concordia	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	531
2014	Concordia	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	603
2014	Concordia	SERVICIOS INMOBILIARIOS	SERVEMP	264
2014	Concordia	SERVICIOS PROFESIONALES, CIENTÍFICOS Y TÉCNICOS	SERVEMP	458
2014	Concordia	SUMINISTRO DE AGUA; CLOACAS; GESTIÓN DE RESIDUOS Y RECUPERACIÓN DE MATERIALES Y SANEAMIENTO PUBLICO	CONST	212
2014	Concordia	SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO	CONST	213
2014	Diamante	ACTIVIDADES ADMINISTRATIVAS Y SERVICIOS DE APOYO	SERVEMP	102
2014	Diamante	ADMINISTRACION PUBLICA, DEFENSA Y SEGURIDAD SOCIAL OBLIGATORIA	SOCADMIN	4436
2014	Diamante	AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA	PRIM	604
2014	Diamante	COMERCIO AL POR MAYOR Y AL POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS	COMHOTREST	1117
2014	Diamante	CONSTRUCCIÓN	CONST	197
2014	Diamante	ENSEÑANZA	ENSESALUD	1176
2014	Diamante	EXPLOTACION DE MINAS Y CANTERAS	PRIM	27
2014	Diamante	INDUSTRIA MANUFACTURERA	MANUF	1217
2014	Diamante	INFORMACIÓN Y COMUNICACIONES	SERVEMP	66
2014	Diamante	INTERMEDIACIÓN FINANCIERA Y SERVICIOS DE SEGUROS	SERVEMP	107
2014	Diamante	SERVICIO DE TRANSPORTE Y ALMACENAMIENTO	SERVEMP	294
2014	Diamante	SERVICIOS  ARTÍSTICOS, CULTURALES, DEPORTIVOS  Y DE ESPARCIMIENTO	SOCADMIN	32
2014	Diamante	SERVICIOS DE ALOJAMIENTO Y SERVICIOS DE COMIDA	COMHOTREST	72
2014	Diamante	SERVICIOS DE ASOCIACIONES Y SERVICIOS PERSONALES	SOCADMIN	361
2014	Diamante	SERVICIOS INMOBILIARIOS	SERVEMP	69
