Cultivo;Producción;Depart;Fecha
Algodón;240;Feliciano;2000
Algodón;80;Feliciano;2001
Algodón;132;Feliciano;2003
Algodón;180;Feliciano;2004
Algodón;154;Feliciano;2005
Algodón;120;Feliciano;2006
Algodón;154;Feliciano;2007
Algodón;154;Feliciano;2008
Algodón;100;Feliciano;2009
Algodón;53;Feliciano;2010
Algodón;620;Feliciano;2011
Algodón;560;Feliciano;2012
Algodón;700;Feliciano;2013
Algodón;750;Feliciano;2014
Algodón;360;Feliciano;2015
Algodón;840;Feliciano;2016
Algodón;780;Feliciano;2017
Algodón;840;Feliciano;2018
Algodón;216;Feliciano;2019
Algodón;480;La Paz;2000
Algodón;150;La Paz;2001
Algodón;152;La Paz;2002
Algodón;240;La Paz;2003
Algodón;300;La Paz;2004
Algodón;288;La Paz;2005
Algodón;180;La Paz;2006
Algodón;288;La Paz;2007
Algodón;288;La Paz;2008
Algodón;100;La Paz;2009
Algodón;67;La Paz;2010
Algodón;1034;La Paz;2011
Algodón;630;La Paz;2012
Algodón;825;La Paz;2013
Algodón;1020;La Paz;2014
Algodón;450;La Paz;2015
Algodón;1200;La Paz;2016
Algodón;910;La Paz;2017
Algodón;700;La Paz;2018
Algodón;144;La Paz;2019
Algodón;150;La Paz;2020
Algodón;120;La Paz;2021
Alpiste;54;Gualeguay;2012
Alpiste;45;Gualeguay;2019
Alpiste;18;Gualeguay;2020
Alpiste;18;Gualeguay;2021
Alpiste;126;La Paz;2014
Alpiste;280;Nogoya;2013
Alpiste;6;Nogoya;2014
Alpiste;96;Tala;2016
Alpiste;100;Tala;2017
Alpiste;75;Tala;2020
Alpiste;780;Uruguay;2004
Alpiste;630;Uruguay;2005
Alpiste;570;Uruguay;2006
Alpiste;130;Uruguay;2007
Alpiste;140;Uruguay;2008
Alpiste;210;Uruguay;2009
Alpiste;1300;Uruguay;2010
Alpiste;400;Uruguay;2011
Alpiste;490;Uruguay;2012
Alpiste;840;Uruguay;2013
Alpiste;360;Uruguay;2014
Alpiste;49;Uruguay;2015
Alpiste;135;Uruguay;2016
Alpiste;88;Uruguay;2017
Alpiste;1040;Uruguay;2018
Alpiste;56;Uruguay;2019
Alpiste;18;Uruguay;2020
Alpiste;3;Uruguay;2021
Alpiste;70;Victoria;2013
Alpiste;36;Victoria;2014
Arroz;74400;Colon;2000
Arroz;35080;Colon;2001
Arroz;41810;Colon;2002
Arroz;33120;Colon;2003
Arroz;48440;Colon;2004
Arroz;45200;Colon;2005
Arroz;46020;Colon;2006
Arroz;52790;Colon;2007
Arroz;66670;Colon;2008
Arroz;60200;Colon;2009
Arroz;77100;Colon;2010
Arroz;54890;Colon;2011
Arroz;37140;Colon;2012
Arroz;45170;Colon;2013
Arroz;55400;Colon;2014
Arroz;46050;Colon;2015
Arroz;45400;Colon;2016
Arroz;41100;Colon;2017
Arroz;29030;Colon;2018
Arroz;28800;Colon;2019
Arroz;35650;Colon;2020
Arroz;36250;Colon;2021
Arroz;47890;Concordia;2000
Arroz;43500;Concordia;2001
Arroz;51450;Concordia;2002
Arroz;40840;Concordia;2003
Arroz;33660;Concordia;2004
Arroz;45410;Concordia;2005
Arroz;42700;Concordia;2006
Arroz;35960;Concordia;2007
Arroz;35490;Concordia;2008
Arroz;43840;Concordia;2009
Arroz;57990;Concordia;2010
Arroz;42960;Concordia;2011
Arroz;36970;Concordia;2012
Arroz;32240;Concordia;2013
Arroz;29230;Concordia;2014
Arroz;17160;Concordia;2015
Arroz;18150;Concordia;2016
Arroz;13100;Concordia;2017
Arroz;10900;Concordia;2018
Arroz;10740;Concordia;2019
Arroz;10423;Concordia;2020
Arroz;13740;Concordia;2021
Arroz;54480;Federacion;2000
Arroz;51250;Federacion;2001
Arroz;64400;Federacion;2002
Arroz;69240;Federacion;2003
Arroz;15340;Federacion;2004
Arroz;53500;Federacion;2005
Arroz;45930;Federacion;2006
Arroz;57450;Federacion;2007
Arroz;53330;Federacion;2008
Arroz;48540;Federacion;2009
Arroz;63400;Federacion;2010
Arroz;56680;Federacion;2011
Arroz;67190;Federacion;2012
Arroz;77220;Federacion;2013
Arroz;66040;Federacion;2014
Arroz;64200;Federacion;2015
Arroz;66490;Federacion;2016
Arroz;69020;Federacion;2017
Arroz;60100;Federacion;2018
Arroz;58340;Federacion;2019
Arroz;60156;Federacion;2020
Arroz;58770;Federacion;2021
Arroz;39250;Federal;2000
Arroz;42250;Federal;2001
Arroz;51300;Federal;2002
Arroz;47560;Federal;2003
Arroz;17360;Federal;2004
Arroz;40400;Federal;2005
Arroz;39500;Federal;2006
Arroz;39410;Federal;2007
Arroz;37320;Federal;2008
Arroz;43730;Federal;2009
Arroz;58450;Federal;2010
Arroz;45300;Federal;2011
Arroz;39780;Federal;2012
Arroz;36270;Federal;2013
Arroz;33370;Federal;2014
Arroz;31400;Federal;2015
Arroz;33320;Federal;2016
Arroz;33925;Federal;2017
Arroz;27550;Federal;2018
Arroz;29790;Federal;2019
Arroz;28320;Federal;2020
Arroz;32165;Federal;2021
Arroz;24640;Feliciano;2000
Arroz;19400;Feliciano;2001
Arroz;25160;Feliciano;2002
Arroz;35280;Feliciano;2003
Arroz;23580;Feliciano;2004
Arroz;42640;Feliciano;2005
Arroz;47600;Feliciano;2006
Arroz;58380;Feliciano;2007
Arroz;56625;Feliciano;2008
Arroz;51060;Feliciano;2009
Arroz;67120;Feliciano;2010
Arroz;59520;Feliciano;2011
Arroz;65190;Feliciano;2012
Arroz;69380;Feliciano;2013
Arroz;66080;Feliciano;2014
Arroz;58880;Feliciano;2015
Arroz;65450;Feliciano;2016
Arroz;65445;Feliciano;2017
Arroz;50050;Feliciano;2018
Arroz;50150;Feliciano;2019
Arroz;52850;Feliciano;2020
Arroz;47900;Feliciano;2021
Arroz;10000;Gualeguaychu;2000
Arroz;2370;Gualeguaychu;2001
Arroz;2620;Gualeguaychu;2002
Arroz;6200;Gualeguaychu;2003
Arroz;6120;Gualeguaychu;2004
Arroz;6520;Gualeguaychu;2005
Arroz;4230;Gualeguaychu;2006
Arroz;4950;Gualeguaychu;2007
Arroz;9600;Gualeguaychu;2008
Arroz;10710;Gualeguaychu;2009
Arroz;21600;Gualeguaychu;2010
Arroz;11050;Gualeguaychu;2011
Arroz;6100;Gualeguaychu;2012
Arroz;11310;Gualeguaychu;2013
Arroz;7100;Gualeguaychu;2014
Arroz;3750;Gualeguaychu;2015
Arroz;2100;Gualeguaychu;2016
Arroz;700;Gualeguaychu;2017
Arroz;28240;La Paz;2000
Arroz;20650;La Paz;2001
Arroz;29220;La Paz;2002
Arroz;38090;La Paz;2003
Arroz;49150;La Paz;2004
Arroz;49400;La Paz;2005
Arroz;49460;La Paz;2006
Arroz;59710;La Paz;2007
Arroz;56600;La Paz;2008
Arroz;53090;La Paz;2009
Arroz;66750;La Paz;2010
Arroz;65150;La Paz;2011
