year	depto	letra	puestos
2014	Colón	A	938
2014	Colón	B	87
2014	Colón	C	3158
2014	Colón	D	20
2014	Colón	E	12
2014	Colón	F	356
2014	Colón	G	1629
2014	Colón	H	611
2014	Colón	I	573
2014	Colón	J	140
2014	Colón	K	176
2014	Colón	L	55
2014	Colón	M	132
2014	Colón	N	196
2014	Colón	Otro	25
2014	Colón	P	372
2014	Colón	Q	188
2014	Colón	R	89
2014	Colón	S	316
2014	Concordia	A	5918
2014	Concordia	B	115
2014	Concordia	C	2711
2014	Concordia	D	213
2014	Concordia	E	39
2014	Concordia	F	1480
2014	Concordia	G	4328
2014	Concordia	H	874
2014	Concordia	I	531
2014	Concordia	J	262
2014	Concordia	K	668
2014	Concordia	L	264
2014	Concordia	M	347
2014	Concordia	N	1355
2014	Concordia	Otro	175
2014	Concordia	P	1558
2014	Concordia	Q	656
2014	Concordia	R	168
2014	Concordia	S	595
2014	Diamante	A	603
2014	Diamante	B	27
2014	Diamante	C	1220
2014	Diamante	D	13
2014	Diamante	E	22
2014	Diamante	F	197
2014	Diamante	G	1117
2014	Diamante	H	286
2014	Diamante	I	72
2014	Diamante	J	67
2014	Diamante	K	105
2014	Diamante	L	69
2014	Diamante	M	74
2014	Diamante	N	102
2014	Diamante	Otro	11
2014	Diamante	P	1001
2014	Diamante	Q	781
2014	Diamante	R	30
2014	Diamante	S	351
2014	Federación	A	1651
2014	Federación	B	28
2014	Federación	C	1514
2014	Federación	D	56
2014	Federación	E	10
2014	Federación	F	368
2014	Federación	G	1674
2014	Federación	H	280
2014	Federación	I	401
2014	Federación	J	91
2014	Federación	K	142
2014	Federación	L	103
2014	Federación	M	159
2014	Federación	N	136
2014	Federación	Otro	13
2014	Federación	P	542
2014	Federación	Q	153
2014	Federación	R	15
2014	Federación	S	182
2014	Federal	A	757
2014	Federal	B	3
2014	Federal	C	95
2014	Federal	D	4
2014	Federal	E	0
2014	Federal	F	177
2014	Federal	G	425
2014	Federal	H	74
2014	Federal	I	21
2014	Federal	J	15
2014	Federal	K	43
2014	Federal	L	38
2014	Federal	M	32
2014	Federal	N	29
2014	Federal	Otro	14
2014	Federal	P	141
2014	Federal	Q	40
2014	Federal	R	11
2014	Federal	S	72
2014	Feliciano	A	339
2014	Feliciano	B	0
2014	Feliciano	C	30
2014	Feliciano	D	0
2014	Feliciano	E	10
2014	Feliciano	F	93
2014	Feliciano	G	165
2014	Feliciano	H	12
2014	Feliciano	I	31
2014	Feliciano	J	4
2014	Feliciano	K	21
2014	Feliciano	L	21
2014	Feliciano	M	18
2014	Feliciano	N	22
2014	Feliciano	Otro	7
2014	Feliciano	P	70
2014	Feliciano	Q	9
2014	Feliciano	R	0
2014	Feliciano	S	12
2014	Gualeguay	A	1026
2014	Gualeguay	B	13
2014	Gualeguay	C	1672
2014	Gualeguay	D	25
2014	Gualeguay	E	51
2014	Gualeguay	F	468
2014	Gualeguay	G	1058
2014	Gualeguay	H	307
2014	Gualeguay	I	95
2014	Gualeguay	J	80
2014	Gualeguay	K	140
2014	Gualeguay	L	70
2014	Gualeguay	M	160
2014	Gualeguay	N	122
2014	Gualeguay	Otro	16
2014	Gualeguay	P	392
2014	Gualeguay	Q	189
2014	Gualeguay	R	19
2014	Gualeguay	S	135
2014	Gualeguaychú	A	1601
2014	Gualeguaychú	B	41
2014	Gualeguaychú	C	3493
2014	Gualeguaychú	D	126
2014	Gualeguaychú	E	61
2014	Gualeguaychú	F	930
2014	Gualeguaychú	G	2718
2014	Gualeguaychú	H	972
2014	Gualeguaychú	I	563
2014	Gualeguaychú	J	311
2014	Gualeguaychú	K	400
2014	Gualeguaychú	L	228
2014	Gualeguaychú	M	349
2014	Gualeguaychú	N	660
2014	Gualeguaychú	Otro	37
2014	Gualeguaychú	P	1488
2014	Gualeguaychú	Q	477
2014	Gualeguaychú	R	165
2014	Gualeguaychú	S	566
2014	Islas del Ibicuy	A	89
2014	Islas del Ibicuy	B	28
2014	Islas del Ibicuy	C	165
2014	Islas del Ibicuy	D	4
2014	Islas del Ibicuy	E	8
2014	Islas del Ibicuy	F	56
2014	Islas del Ibicuy	G	36
2014	Islas del Ibicuy	H	232
2014	Islas del Ibicuy	I	3
2014	Islas del Ibicuy	J	4
2014	Islas del Ibicuy	K	8
2014	Islas del Ibicuy	L	7
2014	Islas del Ibicuy	M	12
2014	Islas del Ibicuy	N	32
2014	Islas del Ibicuy	Otro	0
2014	Islas del Ibicuy	P	46
2014	Islas del Ibicuy	Q	3
2014	Islas del Ibicuy	R	10
2014	Islas del Ibicuy	S	24
2014	La Paz	A	1512
2014	La Paz	B	59
2014	La Paz	C	841
2014	La Paz	D	52
2014	La Paz	E	11
2014	La Paz	F	453
2014	La Paz	G	1020
2014	La Paz	H	217
2014	La Paz	I	127
2014	La Paz	J	46
2014	La Paz	K	119
2014	La Paz	L	116
2014	La Paz	M	84
2014	La Paz	N	198
2014	La Paz	Otro	14
2014	La Paz	P	632
2014	La Paz	Q	150
2014	La Paz	R	18
2014	La Paz	S	261
2014	Nogoyá	A	746
2014	Nogoyá	B	0
2014	Nogoyá	C	679
2014	Nogoyá	D	29
2014	Nogoyá	E	9
2014	Nogoyá	F	159
2014	Nogoyá	G	861
2014	Nogoyá	H	209
2014	Nogoyá	I	47
2014	Nogoyá	J	39
2014	Nogoyá	K	86
2014	Nogoyá	L	58
2014	Nogoyá	M	62
2014	Nogoyá	N	109
2014	Nogoyá	Otro	8
2014	Nogoyá	P	549
2014	Nogoyá	Q	82
2014	Nogoyá	R	16
2014	Nogoyá	S	94
2014	Paraná	A	1724
2014	Paraná	B	169
2014	Paraná	C	8285
2014	Paraná	D	462
2014	Paraná	E	63
2014	Paraná	F	3690
2014	Paraná	G	9745
2014	Paraná	H	2748
2014	Paraná	I	1118
2014	Paraná	J	1376
2014	Paraná	K	1957
2014	Paraná	L	974
2014	Paraná	M	874
2014	Paraná	N	1995
2014	Paraná	Otro	151
2014	Paraná	P	4376
2014	Paraná	Q	2417
2014	Paraná	R	746
2014	Paraná	S	2666
2014	San Salvador	A	529
2014	San Salvador	B	0
2014	San Salvador	C	470
2014	San Salvador	D	11
2014	San Salvador	E	4
2014	San Salvador	F	199
2014	San Salvador	G	241
2014	San Salvador	H	101
2014	San Salvador	I	20
2014	San Salvador	J	24
2014	San Salvador	K	56
2014	San Salvador	L	35
2014	San Salvador	M	34
2014	San Salvador	N	37
2014	San Salvador	Otro	9
2014	San Salvador	P	56
2014	San Salvador	Q	11
2014	San Salvador	R	0
2014	San Salvador	S	20
2014	Tala	A	493
2014	Tala	B	7
2014	Tala	C	277
2014	Tala	D	22
2014	Tala	E	15
2014	Tala	F	129
2014	Tala	G	384
2014	Tala	H	76
2014	Tala	I	30
2014	Tala	J	38
2014	Tala	K	48
2014	Tala	L	36
2014	Tala	M	38
2014	Tala	N	52
2014	Tala	Otro	15
2014	Tala	P	86
2014	Tala	Q	40
2014	Tala	R	5
2014	Tala	S	137
2014	Uruguay	A	622
2014	Uruguay	B	78
2014	Uruguay	C	3650
2014	Uruguay	D	114
2014	Uruguay	E	14
2014	Uruguay	F	1119
2014	Uruguay	G	2351
2014	Uruguay	H	830
2014	Uruguay	I	324
2014	Uruguay	J	299
2014	Uruguay	K	553
2014	Uruguay	L	109
2014	Uruguay	M	157
2014	Uruguay	N	384
2014	Uruguay	Otro	84
2014	Uruguay	P	1416
2014	Uruguay	Q	402
2014	Uruguay	R	101
2014	Uruguay	S	590
2014	Victoria	A	487
2014	Victoria	B	16
2014	Victoria	C	536
2014	Victoria	D	22
2014	Victoria	E	3
2014	Victoria	F	349
2014	Victoria	G	813
2014	Victoria	H	162
2014	Victoria	I	300
2014	Victoria	J	70
2014	Victoria	K	94
2014	Victoria	L	74
2014	Victoria	M	86
2014	Victoria	N	92
2014	Victoria	Otro	8
2014	Victoria	P	380
2014	Victoria	Q	114
2014	Victoria	R	407
2014	Victoria	S	121
2014	Villaguay	A	869
2014	Villaguay	B	3
2014	Villaguay	C	485
2014	Villaguay	D	25
2014	Villaguay	E	8
2014	Villaguay	F	410
2014	Villaguay	G	765
2014	Villaguay	H	165
2014	Villaguay	I	68
2014	Villaguay	J	67
2014	Villaguay	K	94
2014	Villaguay	L	84
2014	Villaguay	M	48
2014	Villaguay	N	90
2014	Villaguay	Otro	8
2014	Villaguay	P	234
2014	Villaguay	Q	107
2014	Villaguay	R	19
2014	Villaguay	S	79
2015	Colón	A	898
2015	Colón	B	97
2015	Colón	C	3240
2015	Colón	D	20
2015	Colón	E	8
2015	Colón	F	371
2015	Colón	G	1639
2015	Colón	H	636
2015	Colón	I	592
2015	Colón	J	139
2015	Colón	K	178
2015	Colón	L	51
2015	Colón	M	121
2015	Colón	N	174
2015	Colón	Otro	21
2015	Colón	P	398
2015	Colón	Q	197
2015	Colón	R	83
2015	Colón	S	322
2015	Concordia	A	6045
2015	Concordia	B	111
2015	Concordia	C	2743
2015	Concordia	D	221
2015	Concordia	E	42
2015	Concordia	F	1533
2015	Concordia	G	4413
2015	Concordia	H	905
2015	Concordia	I	525
2015	Concordia	J	269
2015	Concordia	K	674
2015	Concordia	L	228
2015	Concordia	M	304
2015	Concordia	N	1382
2015	Concordia	Otro	182
2015	Concordia	P	1621
2015	Concordia	Q	683
2015	Concordia	R	74
2015	Concordia	S	594
2015	Diamante	A	597
2015	Diamante	B	28
2015	Diamante	C	1209
2015	Diamante	D	15
2015	Diamante	E	18
2015	Diamante	F	262
2015	Diamante	G	1117
2015	Diamante	H	311
2015	Diamante	I	81
2015	Diamante	J	67
2015	Diamante	K	107
2015	Diamante	L	63
2015	Diamante	M	82
2015	Diamante	N	98
2015	Diamante	Otro	8
2015	Diamante	P	1047
2015	Diamante	Q	806
2015	Diamante	R	31
2015	Diamante	S	366
2015	Federación	A	1609
2015	Federación	B	24
2015	Federación	C	1546
2015	Federación	D	61
2015	Federación	E	9
2015	Federación	F	299
2015	Federación	G	1651
2015	Federación	H	285
2015	Federación	I	418
2015	Federación	J	96
2015	Federación	K	142
2015	Federación	L	86
2015	Federación	M	143
2015	Federación	N	108
2015	Federación	Otro	12
2015	Federación	P	593
2015	Federación	Q	156
2015	Federación	R	14
2015	Federación	S	195
2015	Federal	A	717
2015	Federal	B	0
2015	Federal	C	100
2015	Federal	D	4
2015	Federal	E	0
2015	Federal	F	177
2015	Federal	G	423
2015	Federal	H	79
2015	Federal	I	20
2015	Federal	J	14
2015	Federal	K	41
2015	Federal	L	30
2015	Federal	M	32
2015	Federal	N	32
2015	Federal	Otro	11
2015	Federal	P	153
2015	Federal	Q	41
2015	Federal	R	10
2015	Federal	S	81
2015	Feliciano	A	336
2015	Feliciano	C	26
2015	Feliciano	D	4
2015	Feliciano	E	10
2015	Feliciano	F	55
2015	Feliciano	G	159
2015	Feliciano	H	17
2015	Feliciano	I	36
2015	Feliciano	J	4
2015	Feliciano	K	22
2015	Feliciano	L	21
2015	Feliciano	M	17
2015	Feliciano	N	15
2015	Feliciano	Otro	6
2015	Feliciano	P	84
2015	Feliciano	Q	8
2015	Feliciano	R	0
2015	Feliciano	S	12
2015	Gualeguay	A	1008
2015	Gualeguay	B	10
2015	Gualeguay	C	1721
2015	Gualeguay	D	30
2015	Gualeguay	E	48
2015	Gualeguay	F	481
2015	Gualeguay	G	1066
2015	Gualeguay	H	310
2015	Gualeguay	I	108
2015	Gualeguay	J	85
2015	Gualeguay	K	138
2015	Gualeguay	L	69
2015	Gualeguay	M	141
2015	Gualeguay	N	114
2015	Gualeguay	Otro	16
2015	Gualeguay	P	420
2015	Gualeguay	Q	169
2015	Gualeguay	R	20
2015	Gualeguay	S	134
2015	Gualeguaychú	A	1499
2015	Gualeguaychú	B	43
