year	depto	letra	clae2_desc	puestos
2014	Colón	Otro	Otros sectores	25
2014	Colón	A	Agricultura, ganadería, caza y servicios relacionados	627
2014	Colón	A	Pesca y acuicultura	131
2014	Colón	A	Silvicultura y explotación forestal	180
2014	Colón	B	Actividades de apoyo al petróleo y la minería	6
2014	Colón	B	Extracción de minerales metálicos	NA
2014	Colón	B	Extracción de otros minerales	81
2014	Colón	B	Extracción de petróleo crudo y gas natural	NA
2014	Colón	C	Elaboracion de productos farmacéuticos	5
2014	Colón	C	Elaboración de bebidas	8
2014	Colón	C	Elaboración de prendas de vestir	22
2014	Colón	C	Elaboración de productos alimenticios	2440
2014	Colón	C	Elaboración de productos de cuero y calzado	7
2014	Colón	C	Elaboración de productos de madera	377
2014	Colón	C	Elaboración de productos de papel	3
2014	Colón	C	Elaboración de productos textiles	12
2014	Colón	C	Fabricación de equipo eléctrico	4
2014	Colón	C	Fabricación de maquinarias	57
2014	Colón	C	Fabricación de metales comunes	3
2014	Colón	C	Fabricación de muebles	60
2014	Colón	C	Fabricación de otros equipos de transporte	3
2014	Colón	C	Fabricación de productos de caucho y vidrio	32
2014	Colón	C	Fabricación de productos de informática, de electrónica y de óptica	6
2014	Colón	C	Fabricación de productos de refinación de petróleo	3
2014	Colón	C	Fabricación de productos de vidrio y otros minerales no metálicos	15
2014	Colón	C	Fabricación de productos elaborados del metal, excepto maquinaria y equipo	65
2014	Colón	C	Fabricación de sustancias químicas	13
2014	Colón	C	Fabricación de vehículos automotores, remolques y semirremolques	17
2014	Colón	C	Imprentas y editoriales	6
2014	Colón	C	Otras industrias manufactureras	NA
2014	Colón	C	Reparación e instalación de maquinaria y equipo	NA
2014	Colón	D	Suministro de electricidad, gas, vapor y aire acondicionado	20
2014	Colón	E	Captación, tratamiento y distribución de agua	5
2014	Colón	E	Descontaminación y otros servicios	NA
2014	Colón	E	Recogida, tratamiento y eliminación de desechos; recuperación de materiales	7
2014	Colón	F	Actividades especializadas de construcción 	27
2014	Colón	F	Construcción de edificios y partes	121
2014	Colón	F	Obras de ingeniería civil	208
2014	Colón	G	Comercio al por mayor excepto autos y motos	423
2014	Colón	G	Comercio al por mayor y al por menor y reparación de vehículos automotores y motos	83
2014	Colón	G	Comercio al por menor excepto autos y motos	1123
2014	Colón	H	Almacenamiento y actividades de apoyo al transporte	33
2014	Colón	H	Servicio de correo y mensajería	34
2014	Colón	H	Transporte acuático	66
2014	Colón	H	Transporte terrestre y por tuberías	478
2014	Colón	I	Servicios de alojamiento	337
2014	Colón	I	Servicios de expendio de alimentos y bebidas	236
2014	Colón	J	Actividades de procesamiento de información	3
2014	Colón	J	Edición	24
2014	Colón	J	Programación y transmisiones de TV y radio	78
2014	Colón	J	Servicios audiovisuales	4
2014	Colón	J	Servicios de programación, consultoría informática y actividades conexas	14
2014	Colón	J	Telecomunicaciones	17
2014	Colón	K	Servicios auxiliares de la actividad financiera y de seguros	24
2014	Colón	K	Servicios de seguros, reaseguros y pensiones	59
