fecha,clae6,puestos
2007-01-01,11111,2653
2007-01-01,11112,4387
2007-01-01,11119,21358
2007-01-01,11121,2174
2007-01-01,11129,1071
2007-01-01,11130,423
2007-01-01,11211,26290
2007-01-01,11291,462
2007-01-01,11299,5766
2007-01-01,11310,2820
2007-01-01,11321,719
2007-01-01,11329,2904
2007-01-01,11331,3886
2007-01-01,11341,298
2007-01-01,11342,1007
2007-01-01,11400,20085
2007-01-01,11501,4420
2007-01-01,11509,5
2007-01-01,11911,893
2007-01-01,11912,1248
2007-01-01,11990,325
2007-01-01,12110,19981
2007-01-01,12121,880
2007-01-01,12200,5549
2007-01-01,12311,23875
2007-01-01,12319,1033
2007-01-01,12320,4121
2007-01-01,12410,173
2007-01-01,12420,606
2007-01-01,12490,9972
2007-01-01,12510,3337
2007-01-01,12590,-99
2007-01-01,12600,1298
2007-01-01,12701,2659
2007-01-01,12709,547
2007-01-01,12800,184
2007-01-01,12900,413
2007-01-01,13011,1467
2007-01-01,13012,403
2007-01-01,13013,257
2007-01-01,13019,1985
2007-01-01,13020,1028
2007-01-01,14113,58340
2007-01-01,14114,5903
2007-01-01,14115,1603
2007-01-01,14121,1004
2007-01-01,14211,367
2007-01-01,14221,1345
2007-01-01,14410,4015
2007-01-01,14420,35
2007-01-01,14430,49
2007-01-01,14440,-99
2007-01-01,14510,1927
2007-01-01,14520,131
2007-01-01,14610,10872
2007-01-01,14620,39
2007-01-01,14710,460
2007-01-01,14720,36
2007-01-01,14810,3451
2007-01-01,14820,4067
2007-01-01,14910,936
2007-01-01,14920,15
2007-01-01,14930,100
2007-01-01,14990,546
2007-01-01,16111,2657
2007-01-01,16112,1111
2007-01-01,16113,484
2007-01-01,16119,1779
2007-01-01,16120,4017
2007-01-01,16130,4845
2007-01-01,16140,198
2007-01-01,16150,107
2007-01-01,16190,3555
2007-01-01,16210,168
2007-01-01,16220,464
2007-01-01,16230,40
2007-01-01,16291,568
2007-01-01,16292,356
2007-01-01,16299,976
2007-01-01,17010,51
