depto	A	B	C	D	E	F	G	H	I	J	K	L	M	N	OTR	P	Q	R	S
Colón	325	34	169	19	6	69	556	148	283	25	50	22	13	25	15	429	76	20	113
Concordia	1235	22	146	229	14	533	1358	208	275	63	206	103	42	129	35	1909	281	32	199
Diamante	287	6	68	25	10	69	387	81	46	20	34	18	12	13	4	1121	323	12	186
Federación	444	4	79	80	5	65	496	59	250	22	42	24	16	17	12	624	62	5	64
Federal	462	2	7	6	2	64	124	29	13	3	12	17	6	7	7	193	14	3	34
Feliciano	139	0	5	4	5	31	44	8	17	1	13	13	4	5	0	78	6	0	18
Gualeguay	336	4	82	32	22	135	404	75	60	20	38	47	16	18	11	579	83	7	54
Gualeguaychú	473	16	149	160	21	235	980	183	243	62	131	112	42	92	35	1841	166	53	171
Islas del Ibicuy	39	25	13	8	5	13	34	38	1	1	3	7	1	14	0	66	8	2	24
La Paz	563	24	44	64	4	149	357	45	45	14	36	38	13	29	13	890	69	10	125
Nogoyá	678	0	41	53	4	36	279	55	30	12	26	28	7	15	0	664	52	3	37
Paraná	562	37	372	693	23	1095	3548	549	581	239	589	206	111	354	119	5315	887	197	921
San Salvador	249	0	37	20	5	51	101	37	9	14	20	6	5	8	6	97	17	2	14
Tala	151	4	14	26	6	39	123	18	16	10	14	24	4	9	6	118	24	4	67
Uruguay	236	23	186	139	4	296	799	174	168	71	170	43	25	66	17	1642	201	21	173
Victoria	235	4	31	32	3	69	283	33	143	15	25	20	11	11	7	462	62	152	36
Villaguay	390	2	26	32	6	136	305	37	39	16	29	27	8	23	5	307	68	5	34
