depto	desc_clae	puestos
Colón	Farm	9
Colón	Bebi	12
Colón	Vest	24
Colón	Alim	2915
Colón	Cuercalz	7
Colón	Made	332
Colón	Pape	9
Colón	Text	7
Colón	EquiElec	6
Colón	Maqu	102
Colón	MetCom	0
Colón	Mueb	9
Colón	EquiTran	6
Colón	CauVid	26
Colón	InfoElecOpt	0
Colón	VidOtrMin	8
Colón	MetalExcMaqEq	73
Colón	SustQuim	8
Colón	AutoRemSemi	22
Colón	ImpEdit	3
Colón	Otr	3
Colón	RepInstalMaq	0
Concordia	Farm	26
Concordia	Bebi	199
Concordia	Vest	19
Concordia	Alim	1058
Concordia	Cuercalz	3
Concordia	Made	1393
Concordia	Pape	15
Concordia	Text	15
Concordia	EquiElec	19
Concordia	Maqu	33
Concordia	MetCom	23
Concordia	Mueb	14
Concordia	EquiTran	6
Concordia	CauVid	36
Concordia	InfoElecOpt	27
Concordia	VidOtrMin	58
Concordia	MetalExcMaqEq	132
Concordia	SustQuim	131
Concordia	AutoRemSemi	24
Concordia	ImpEdit	30
Concordia	Otr	33
Concordia	RepInstalMaq	29
Diamante	Farm	17
Diamante	Bebi	52
Diamante	Vest	0
Diamante	Alim	865
Diamante	Cuercalz	122
Diamante	Made	9
Diamante	Pape	10
Diamante	Text	8
Diamante	EquiElec	4
Diamante	Maqu	22
Diamante	MetCom	11
Diamante	Mueb	29
Diamante	EquiTran	13
Diamante	CauVid	126
Diamante	InfoElecOpt	4
Diamante	VidOtrMin	42
Diamante	MetalExcMaqEq	107
Diamante	SustQuim	30
Diamante	AutoRemSemi	81
Diamante	ImpEdit	4
Diamante	Otr	15
Diamante	RepInstalMaq	5
Federación	Farm	3
Federación	Bebi	24
Federación	Vest	5
Federación	Alim	439
Federación	Made	930
Federación	Pape	5
Federación	ProdTab	0
Federación	Text	3
Federación	EquiElec	15
Federación	Maqu	21
Federación	MetCom	0
Federación	Mueb	75
Federación	EquiTran	3
Federación	CauVid	7
Federación	InfoElecOpt	0
Federación	VidOtrMin	25
Federación	MetalExcMaqEq	64
Federación	SustQuim	53
Federación	AutoRemSemi	13
Federación	ImpEdit	7
Federación	Otr	0
Federación	RepInstalMaq	12
Federal	Bebi	5
Federal	Vest	3
Federal	Alim	42
Federal	Made	17
Federal	Pape	0
Federal	Text	0
Federal	EquiElec	3
Federal	Maqu	0
Federal	MetCom	0
Federal	Mueb	3
Federal	CauVid	4
Federal	VidOtrMin	6
Federal	MetalExcMaqEq	14
Federal	SustQuim	4
Federal	AutoRemSemi	19
Federal	Otr	0
Feliciano	Farm	4
Feliciano	Alim	45
Feliciano	Cuercalz	0
Feliciano	Made	8
Feliciano	Pape	0
Feliciano	EquiElec	0
Feliciano	Maqu	4
Feliciano	Mueb	0
Feliciano	EquiTran	0
Feliciano	CauVid	0
Feliciano	InfoElecOpt	0
Feliciano	VidOtrMin	4
Feliciano	MetalExcMaqEq	5
Gualeguay	Farm	5
Gualeguay	Bebi	20
Gualeguay	Vest	4
Gualeguay	Alim	1579
Gualeguay	Cuercalz	17
Gualeguay	Made	8
Gualeguay	Pape	3
Gualeguay	Text	4
Gualeguay	EquiElec	8
Gualeguay	Maqu	4
Gualeguay	MetCom	7
Gualeguay	Mueb	0
Gualeguay	EquiTran	5
Gualeguay	CauVid	11
Gualeguay	InfoElecOpt	0
Gualeguay	RefPet	0
Gualeguay	VidOtrMin	4
Gualeguay	MetalExcMaqEq	140
Gualeguay	SustQuim	14
Gualeguay	AutoRemSemi	24
Gualeguay	ImpEdit	7
Gualeguay	Otr	6
Gualeguay	RepInstalMaq	3
Gualeguaychú	Farm	26
Gualeguaychú	Bebi	548
Gualeguaychú	Vest	22
Gualeguaychú	Alim	968
Gualeguaychú	Cuercalz	9
Gualeguaychú	Made	83
Gualeguaychú	Pape	69
Gualeguaychú	ProdTab	0
Gualeguaychú	Text	116
Gualeguaychú	EquiElec	233
Gualeguaychú	Maqu	96
Gualeguaychú	MetCom	53
Gualeguaychú	Mueb	9
Gualeguaychú	EquiTran	18
Gualeguaychú	CauVid	194
Gualeguaychú	InfoElecOpt	6
Gualeguaychú	RefPet	4
Gualeguaychú	VidOtrMin	49
Gualeguaychú	MetalExcMaqEq	284
Gualeguaychú	SustQuim	348
Gualeguaychú	AutoRemSemi	561
Gualeguaychú	ImpEdit	25
Gualeguaychú	Otr	11
Gualeguaychú	RepInstalMaq	22
Islas del Ibicuy	Farm	0
Islas del Ibicuy	Bebi	8
Islas del Ibicuy	Alim	17
Islas del Ibicuy	Made	0
Islas del Ibicuy	Pape	71
Islas del Ibicuy	EquiElec	0
Islas del Ibicuy	MetCom	12
Islas del Ibicuy	Mueb	0
Islas del Ibicuy	CauVid	0
Islas del Ibicuy	InfoElecOpt	0
Islas del Ibicuy	VidOtrMin	0
Islas del Ibicuy	MetalExcMaqEq	6
Islas del Ibicuy	SustQuim	0
