fecha,clae2,w_median
2007-01-01,1,896
2007-01-01,2,802
2007-01-01,3,2065
2007-01-01,5,1238
2007-01-01,6,6924
2007-01-01,7,3000
2007-01-01,8,1472
2007-01-01,9,3748
2007-01-01,10,1480
2007-01-01,11,1893
2007-01-01,12,2025
2007-01-01,13,1359
2007-01-01,14,1159
2007-01-01,15,1433
2007-01-01,16,1132
2007-01-01,17,1913
2007-01-01,18,1500
2007-01-01,19,2618
2007-01-01,20,2094
2007-01-01,21,3035
2007-01-01,22,1689
2007-01-01,23,1601
2007-01-01,24,2675
2007-01-01,25,1376
2007-01-01,26,1630
2007-01-01,27,1562
2007-01-01,28,1607
2007-01-01,29,2095
2007-01-01,30,1836
2007-01-01,31,1275
2007-01-01,32,1357
2007-01-01,33,1501
2007-01-01,35,3081
2007-01-01,36,1836
2007-01-01,37,1614
2007-01-01,38,2294
2007-01-01,39,1357
2007-01-01,41,1036
2007-01-01,42,1462
2007-01-01,43,1172
2007-01-01,45,1346
2007-01-01,46,1307
2007-01-01,47,1227
2007-01-01,49,1993
2007-01-01,50,3168
2007-01-01,51,2373
2007-01-01,52,1492
2007-01-01,53,1764
2007-01-01,55,1355
2007-01-01,56,968
2007-01-01,58,1798
2007-01-01,59,1418
2007-01-01,60,2154
2007-01-01,61,2438
2007-01-01,62,2078
2007-01-01,63,1783
2007-01-01,64,3072
2007-01-01,65,2094
2007-01-01,66,1354
2007-01-01,68,1212
2007-01-01,69,1181
2007-01-01,70,1167
2007-01-01,71,1174
2007-01-01,72,1664
2007-01-01,73,1446
2007-01-01,74,1098
2007-01-01,75,811
2007-01-01,77,1439
2007-01-01,78,1171
2007-01-01,79,1283
2007-01-01,80,1091
2007-01-01,81,900
2007-01-01,82,1175
2007-01-01,85,875
2007-01-01,86,1534
2007-01-01,87,1273
2007-01-01,88,1144
2007-01-01,90,1072
2007-01-01,91,1185
2007-01-01,92,1444
2007-01-01,93,1142
2007-01-01,94,1421
2007-01-01,95,1182
2007-01-01,96,921
2007-01-01,999,1199
2007-02-01,1,891
2007-02-01,2,805
2007-02-01,3,1997
2007-02-01,5,1076
2007-02-01,6,6420
2007-02-01,7,3196
2007-02-01,8,1437
2007-02-01,9,3775
2007-02-01,10,1406
2007-02-01,11,1780
2007-02-01,12,1638
2007-02-01,13,1294
2007-02-01,14,1103
2007-02-01,15,1234
2007-02-01,16,1058
2007-02-01,17,1758
2007-02-01,18,1431
2007-02-01,19,2367
2007-02-01,20,1982
2007-02-01,21,2691
2007-02-01,22,1546
2007-02-01,23,1490
2007-02-01,24,2414
2007-02-01,25,1258
2007-02-01,26,1601
2007-02-01,27,1433
2007-02-01,28,1485
2007-02-01,29,2077
2007-02-01,30,1797
2007-02-01,31,1183
2007-02-01,32,1266
2007-02-01,33,1388
2007-02-01,35,2925
2007-02-01,36,1773
2007-02-01,37,1620
2007-02-01,38,2079
2007-02-01,39,1280
2007-02-01,41,1017
2007-02-01,42,1404
2007-02-01,43,1121
2007-02-01,45,1335
2007-02-01,46,1286
2007-02-01,47,1220
2007-02-01,49,1985
2007-02-01,50,3013
2007-02-01,51,2518
2007-02-01,52,1467
2007-02-01,53,1732
2007-02-01,55,1394
2007-02-01,56,960
2007-02-01,58,1681
2007-02-01,59,1393
2007-02-01,60,2040
2007-02-01,61,2377
2007-02-01,62,2079
2007-02-01,63,1747
2007-02-01,64,2869
2007-02-01,65,2009
2007-02-01,66,1329
2007-02-01,68,1193
2007-02-01,69,1172
2007-02-01,70,1157
2007-02-01,71,1169
2007-02-01,72,1629
2007-02-01,73,1421
2007-02-01,74,1075
2007-02-01,75,808
2007-02-01,77,1465
2007-02-01,78,1110
2007-02-01,79,1290
2007-02-01,80,1070
2007-02-01,81,903
2007-02-01,82,1160
2007-02-01,85,869
2007-02-01,86,1524
2007-02-01,87,1273
2007-02-01,88,1104
2007-02-01,90,1076
2007-02-01,91,1162
2007-02-01,92,1424
2007-02-01,93,1112
2007-02-01,94,1395
2007-02-01,95,1171
2007-02-01,96,912
2007-02-01,999,1179
2007-03-01,1,892
2007-03-01,2,807
2007-03-01,3,2518
2007-03-01,5,1233
2007-03-01,6,9611
2007-03-01,7,2980
2007-03-01,8,1501
2007-03-01,9,3713
2007-03-01,10,1497
2007-03-01,11,1831
2007-03-01,12,1828
2007-03-01,13,1384
2007-03-01,14,1172
2007-03-01,15,1351
2007-03-01,16,1135
2007-03-01,17,1856
2007-03-01,18,1462
2007-03-01,19,2458
2007-03-01,20,2058
2007-03-01,21,2746
2007-03-01,22,1633
2007-03-01,23,1632
2007-03-01,24,2519
2007-03-01,25,1350
2007-03-01,26,1656
2007-03-01,27,1520
2007-03-01,28,1616
2007-03-01,29,2294
2007-03-01,30,1842
2007-03-01,31,1232
2007-03-01,32,1307
2007-03-01,33,1379
2007-03-01,35,3043
2007-03-01,36,1828
2007-03-01,37,1614
2007-03-01,38,2172
2007-03-01,39,1331
2007-03-01,41,1060
2007-03-01,42,1489
2007-03-01,43,1176
2007-03-01,45,1331
2007-03-01,46,1275
2007-03-01,47,1222
2007-03-01,49,2022
2007-03-01,50,3119
2007-03-01,51,2533
2007-03-01,52,1488
2007-03-01,53,1725
2007-03-01,55,1420
2007-03-01,56,970
2007-03-01,58,1696
2007-03-01,59,1394
2007-03-01,60,2151
2007-03-01,61,2852
2007-03-01,62,2109
2007-03-01,63,1837
2007-03-01,64,2593
2007-03-01,65,2036
2007-03-01,66,1302
2007-03-01,68,1200
2007-03-01,69,1171
2007-03-01,70,1168
2007-03-01,71,1183
2007-03-01,72,1671
2007-03-01,73,1408
2007-03-01,74,1139
2007-03-01,75,808
2007-03-01,77,1499
2007-03-01,78,1155
2007-03-01,79,1294
2007-03-01,80,1079
2007-03-01,81,907
2007-03-01,82,1167
2007-03-01,85,937
2007-03-01,86,1500
2007-03-01,87,1273
2007-03-01,88,1139
2007-03-01,90,886
2007-03-01,91,1179
2007-03-01,92,1468
2007-03-01,93,1110
2007-03-01,94,1406
2007-03-01,95,1171
2007-03-01,96,926
2007-03-01,999,1187
2007-04-01,1,891
2007-04-01,2,821
2007-04-01,3,2487
2007-04-01,5,1166
2007-04-01,6,6583
2007-04-01,7,3000
2007-04-01,8,1472
2007-04-01,9,3918
2007-04-01,10,1482
2007-04-01,11,1905
2007-04-01,12,1897
2007-04-01,13,1340
2007-04-01,14,1155
2007-04-01,15,1325
2007-04-01,16,1093
2007-04-01,17,1883
2007-04-01,18,1548
2007-04-01,19,2624
2007-04-01,20,2020
2007-04-01,21,2840
2007-04-01,22,1640
2007-04-01,23,1568
2007-04-01,24,2709
2007-04-01,25,1310
2007-04-01,26,1683
2007-04-01,27,1513
2007-04-01,28,1558
2007-04-01,29,2236
2007-04-01,30,1825
2007-04-01,31,1193
2007-04-01,32,1291
2007-04-01,33,1418
2007-04-01,35,2861
2007-04-01,36,1853
2007-04-01,37,1649
2007-04-01,38,2327
2007-04-01,39,1332
2007-04-01,41,1065
2007-04-01,42,1477
2007-04-01,43,1173
2007-04-01,45,1326
2007-04-01,46,1277
2007-04-01,47,1233
2007-04-01,49,2139
2007-04-01,50,3155
2007-04-01,51,2735
2007-04-01,52,1510
2007-04-01,53,1849
2007-04-01,55,1449
2007-04-01,56,1003
2007-04-01,58,1756
2007-04-01,59,1386
2007-04-01,60,2227
2007-04-01,61,2489
2007-04-01,62,2188
2007-04-01,63,1759
2007-04-01,64,3022
2007-04-01,65,2057
2007-04-01,66,1304
2007-04-01,68,1212
2007-04-01,69,1173
2007-04-01,70,1172
2007-04-01,71,1195
2007-04-01,72,1716
2007-04-01,73,1458
2007-04-01,74,1086
2007-04-01,75,816
2007-04-01,77,1547
2007-04-01,78,1165
2007-04-01,79,1286
2007-04-01,80,1127
2007-04-01,81,903
2007-04-01,82,1174
2007-04-01,85,1016
2007-04-01,86,1518
2007-04-01,87,1283
2007-04-01,88,1154
2007-04-01,90,867
2007-04-01,91,1197
2007-04-01,92,1530
2007-04-01,93,1130
2007-04-01,94,1438
2007-04-01,95,1176
2007-04-01,96,944
2007-04-01,999,1202
2007-05-01,1,900
2007-05-01,2,850
2007-05-01,3,2574
2007-05-01,5,1283
2007-05-01,6,6335
2007-05-01,7,2989
2007-05-01,8,1578
2007-05-01,9,3894
2007-05-01,10,1581
2007-05-01,11,1980
2007-05-01,12,1926
2007-05-01,13,1451
2007-05-01,14,1196
2007-05-01,15,1485
2007-05-01,16,1200
2007-05-01,17,2021
2007-05-01,18,1668
2007-05-01,19,2707
2007-05-01,20,2085
2007-05-01,21,2866
2007-05-01,22,1850
2007-05-01,23,1699
2007-05-01,24,2833
2007-05-01,25,1604
2007-05-01,26,1846
2007-05-01,27,1799
2007-05-01,28,1908
2007-05-01,29,2632
2007-05-01,30,2050
2007-05-01,31,1343
2007-05-01,32,1455
2007-05-01,33,1663
2007-05-01,35,2971
2007-05-01,36,1862
2007-05-01,37,1649
2007-05-01,38,2477
2007-05-01,39,1020
2007-05-01,41,1187
2007-05-01,42,1657
2007-05-01,43,1283
2007-05-01,45,1372
2007-05-01,46,1292
2007-05-01,47,1232
2007-05-01,49,2172
2007-05-01,50,3188
2007-05-01,51,2451
2007-05-01,52,1557
2007-05-01,53,1862
2007-05-01,55,1459
2007-05-01,56,1010
2007-05-01,58,1846
2007-05-01,59,1412
2007-05-01,60,2299
2007-05-01,61,2437
2007-05-01,62,2200
2007-05-01,63,1784
2007-05-01,64,2881
2007-05-01,65,2045
2007-05-01,66,1306
2007-05-01,68,1224
2007-05-01,69,1174
2007-05-01,70,1198
2007-05-01,71,1250
2007-05-01,72,1750
2007-05-01,73,1446
2007-05-01,74,1139
2007-05-01,75,824
2007-05-01,77,1626
2007-05-01,78,1248
2007-05-01,79,1287
2007-05-01,80,1100
2007-05-01,81,920
2007-05-01,82,1176
2007-05-01,85,1010
2007-05-01,86,1518
2007-05-01,87,1277
2007-05-01,88,1149
2007-05-01,90,717
2007-05-01,91,1185
2007-05-01,92,1527
2007-05-01,93,1139
2007-05-01,94,1471
2007-05-01,95,1195
2007-05-01,96,970
2007-05-01,999,1204
2007-06-01,1,1296
2007-06-01,2,1162
2007-06-01,3,3828
2007-06-01,5,2353
2007-06-01,6,9736
2007-06-01,7,4544
2007-06-01,8,2412
2007-06-01,9,5798
2007-06-01,10,2378
2007-06-01,11,2851
2007-06-01,12,2719
2007-06-01,13,2189
2007-06-01,14,1773
2007-06-01,15,2161
2007-06-01,16,1749
2007-06-01,17,3010
2007-06-01,18,2408
2007-06-01,19,3910
2007-06-01,20,3172
2007-06-01,21,4452
2007-06-01,22,2735
2007-06-01,23,2534
2007-06-01,24,4233
2007-06-01,25,2187
2007-06-01,26,2701
2007-06-01,27,2522
2007-06-01,28,2647
2007-06-01,29,3750
2007-06-01,30,2179
2007-06-01,31,1915
2007-06-01,32,2109
2007-06-01,33,2268
2007-06-01,35,4309
2007-06-01,36,2869
2007-06-01,37,2493
2007-06-01,38,3305
2007-06-01,39,1981
2007-06-01,41,1517
2007-06-01,42,2251
2007-06-01,43,1767
2007-06-01,45,2063
2007-06-01,46,2016
2007-06-01,47,1950
2007-06-01,49,3129
2007-06-01,50,4642
2007-06-01,51,3646
2007-06-01,52,2261
2007-06-01,53,2577
2007-06-01,55,2071
2007-06-01,56,1403
2007-06-01,58,2817
2007-06-01,59,1895
2007-06-01,60,3523
2007-06-01,61,3804
2007-06-01,62,3193
2007-06-01,63,2747
2007-06-01,64,4109
2007-06-01,65,3111
2007-06-01,66,2074
2007-06-01,68,1887
2007-06-01,69,1771
2007-06-01,70,1777
2007-06-01,71,1779
2007-06-01,72,2492
2007-06-01,73,2103
2007-06-01,74,1626
2007-06-01,75,1212
2007-06-01,77,2351
2007-06-01,78,1585
