depto	COMHOTREST	CONST	ENSESALUD	MANUF	PRIM	SERVEMP	SOCADMIN	anio
Colón	0.7497555	0.3873286	0.2588625	1.2924786	0.6280783	0.603479	0.5173005	2014
Concordia	1.2259734	1.3140476	0.89167130000000006	0.7796005	2.4893821	1.2584755	0.984166	2014
Diamante	0.9449703	0.5811304	1.5089964	1.084221	0.8174462	0.6839372	1.0244604	2014
Federación	1.2178948	0.6827283	0.7283993	1.0418563	1.6528106	0.6840729	0.7730749	2014
Federal	1.4982034	1.7056999	0.7980348	0.3855531	4.0761917	0.8778607	2.3084078	2014
Feliciano	1.620645	1.7508932	1.9337258	0.3491836	3.5061236	0.9740832	2.3902581	2014
Gualeguay	0.714234	0.9501061	0.4938724	1.1662079	1.052766	0.6829597	0.730883	2014
Gualeguaychú	0.8829729	0.8232781	0.8327236	1.0947672	0.742658	1.0250986	0.7704346	2014
Islas del Ibicuy	0.1919472	1.0352054	0.4040247	0.9692316	1.1572057	2.0389049	0.7486646	2014
La Paz	1.0129585	1.2138724	1.0424613	0.8521891	2.298798	0.8222702	1.2575029	2014
Nogoyá	1.1655379	0.6457195	1.1992299	0.9779597	1.298918	0.8672353	1.0479973	2014
Paraná	1.0858419	1.1261857	1.3478367	0.9424954	0.3228502	1.237094	1.2183949	2014
San Salvador	0.5704984	1.2922099	0.2452351	1.1842999	1.2735311	0.7475538	0.5356576	2014
Tala	1.0101316	1.0651466	0.4226464	0.7840066	1.9665078	0.8509261	1.8339736	2014
Uruguay	0.7473743	0.9354729	1.2508206	1.1692259	0.3405771	0.8625939	0.7333022	2014
Victoria	1.377689	1.3524046	0.8605413	0.8090913	1.0950184	0.9308994	1.6351874	2014
Villaguay	1.1842888	1.7170047	0.8537129	0.7820364	1.9914505	0.8939903	1.4555999	2014
Colón	0.7438169	0.3783908	0.260965	1.3001142	0.6109054	0.593237	0.5045422	2015
Concordia	1.2322118	1.3100819	0.8873688	0.7772777	2.5413377	1.2654711	0.978305	2015
Diamante	0.942237	0.7040657	1.5137646	1.0690573	0.8187859	0.7230873	1.0261129	2015
Federación	1.2094269	0.5537944	0.7657719	1.0587528	1.6256379	0.6521877	0.7682024	2015
Federal	1.4831472	1.663701	0.8128942	0.388899	3.9046911	0.8922014	2.3760379	2015
Feliciano	1.4173755	1.1218722	1.9321361	0.2936962	4.1402972	0.9015916	2.7456673	2015
Gualeguay	0.7086493	0.9230674	0.4960002	1.1780792	1.023877	0.6535308	0.721903	2015
Gualeguaychú	0.8654722	0.9620903	0.8522622	1.0922527	0.7023697	1.0389585	0.7636547	2015
Islas del Ibicuy	0.207049	0.9744175	0.4727168	1.024689	1.2713822	1.6284472	0.8144546	2015
La Paz	0.9995281	1.2798577	1.015433	0.8688142	2.1774637	0.7995759	1.2472123	2015
Nogoyá	1.084124	0.621782	1.1678932	0.9850916	1.4550316	0.8706963	1.0098726	2015
Paraná	1.100023	1.1523005	1.3310942	0.9363508	0.3222491	1.2423836	1.2252141	2015
San Salvador	0.5938341	1.2741783	0.2756375	1.1788261	1.220103	0.7991	0.526542	2015
Tala	1.0111601	0.9576005	0.4309378	0.776978	1.9999649	0.8441254	1.8848619	2015
Uruguay	0.7500361	0.8899658	1.2383745	1.1711459	0.3451516	0.8782764	0.7136202	2015
Victoria	1.3577447	1.1546109	0.9468147	0.8182951	1.0902441	0.9299638	1.6370395	2015
Villaguay	1.211236	1.4200849	0.8895049	0.789361	1.947675	0.8860997	1.4947648	2015
Colón	0.7213871	0.42067330000000003	0.2603824	1.2958565	0.6154323	0.5844783	0.4971856	2016
Concordia	1.2303154	1.4816198	0.8942956	0.7888721	2.4555461	1.2422046	0.9891794	2016
Diamante	0.9146104	0.6630971	1.5049266	1.0733199	0.7859259	0.7368249	1.0087853	2016
Federación	1.1806195	0.4747601	0.7685265	1.0744957	1.595086	0.6135183	0.7573379	2016
Federal	1.4761247	1.4931619	0.8246757	0.360808	4.2401799	0.8405664	2.5316998	2016
Feliciano	1.4651524	1.269042	2.0449158	0.3081402	4.7128323	0.8401387	2.468133	2016
