depto	COMHOTREST	CONST	ENSESALUD	MANUF	PRIM	SERVEMP	SOCADMIN	anio
Colón	0.7462897	0.387407	0.2579788	1.2922501	0.6286463	0.6071039	0.5165544	2014
Concordia	1.2203061	1.3143135	0.8886276	0.7794627	2.4916334	1.2660349	0.9827464	2014
Diamante	0.940602	0.581248	1.5038453	1.0840293	0.8181854	0.6880455	1.0229827	2014
Federación	1.2122649	0.6828665	0.7259129	1.0416721	1.6543052	0.688182	0.7719598	2014
Federal	1.4912777	1.7060451	0.7953107	0.3854849	4.0798779	0.8831338	2.3050781	2014
Feliciano	1.6131533	1.7512476	1.9271249	0.3491219	3.5092942	0.9799343	2.3868103	2014
Gualeguay	0.7109323	0.9502984	0.4921865	1.1660017	1.053718	0.6870621	0.72982880000000006	2014
Gualeguaychú	0.8788912	0.8234447	0.829881	1.0945737	0.7433296	1.0312561	0.7693233	2014
La Paz	1.008276	1.2141181	1.0389028	0.8520384	2.3008769	0.8272094	1.2556891	2014
Nogoyá	1.16015	0.6458502	1.1951363	0.9777868	1.3000926	0.8724445	1.0464856	2014
Paraná	1.0808224	1.1264136	1.3432358	0.9423287	0.3231422	1.2445249	1.2166374	2014
San Salvador	0.5678611	1.2924715	0.244398	1.1840905	1.2746828	0.7520442	0.534885	2014
Tala	1.0054621	1.0653622	0.4212037	0.783868	1.9682861	0.8560374	1.8313283	2014
Uruguay	0.7439194	0.9356623	1.2465508	1.1690192	0.3408851	0.8677753	0.7322444	2014
Victoria	1.3713204	1.3526783	0.8576038	0.8089483	1.0960087	0.9364911	1.6328288	2014
Villaguay	1.1788142	1.7173522	0.8507987	0.7818982	1.9932514	0.8993603	1.4535004	2014
Colón	0.7407249	0.3783399	0.2602426	1.3002832	0.6117794	0.5952062	0.5040499	2015
Concordia	1.2270896	1.3099055	0.8849125	0.7773787	2.5449735000000002	1.2696715	0.9773504	2015
Diamante	0.9383202	0.7039709	1.5095744	1.0691962	0.8199573	0.7254875	1.0251116	2015
